"ReceiptNumber","ReceiptMethod","ReceiptDate","BusinessUnit","CustomerAccountNumber","CustomerSite","Amount","Currency","RemittanceBankAccountNumber","AccountingDate"
"Cash-BLKU-0001975","Cash","2026-03-05","AlQurashi-KSA","87016","73010","1624.0","SAR","Cash NAJMELAGRO","2026-03-05"
"Cash-BLKU-0001976","Cash","2026-03-06","AlQurashi-KSA","87016","73010","817.0","SAR","Cash NAJMELAGRO","2026-03-06"
"Cash-BLKU-0001977","Cash","2026-03-07","AlQurashi-KSA","87016","73010","1365.0","SAR","Cash NAJMELAGRO","2026-03-07"
"Cash-BLKU-0001978","Cash","2026-03-08","AlQurashi-KSA","87016","73010","1365.0","SAR","Cash NAJMELAGRO","2026-03-08"
"Cash-BLKU-0001979","Cash","2026-03-09","AlQurashi-KSA","87016","73010","1703.0","SAR","Cash NAJMELAGRO","2026-03-09"
"Cash-BLKU-0001980","Cash","2026-03-10","AlQurashi-KSA","87016","73010","1866.0","SAR","Cash NAJMELAGRO","2026-03-10"
"Cash-BLKU-0001981","Cash","2026-03-11","AlQurashi-KSA","87016","73010","4361.0","SAR","Cash NAJMELAGRO","2026-03-11"
"Cash-BLKU-0001982","Cash","2026-03-12","AlQurashi-KSA","87016","73010","3118.0","SAR","Cash NAJMELAGRO","2026-03-12"
"Cash-BLKU-0001983","Cash","2026-03-13","AlQurashi-KSA","87016","73010","3379.0","SAR","Cash NAJMELAGRO","2026-03-13"
"Cash-BLKU-0001984","Cash","2026-03-14","AlQurashi-KSA","87016","73010","2503.0","SAR","Cash NAJMELAGRO","2026-03-14"
"Cash-BLKU-0001985","Cash","2026-03-15","AlQurashi-KSA","87016","73010","2301.0","SAR","Cash NAJMELAGRO","2026-03-15"
"Cash-BLKU-0001986","Cash","2026-03-16","AlQurashi-KSA","87016","73010","3860.0","SAR","Cash NAJMELAGRO","2026-03-16"
"Cash-BLKU-0001987","Cash","2026-03-17","AlQurashi-KSA","87016","73010","2607.0","SAR","Cash NAJMELAGRO","2026-03-17"
"Cash-BLKU-0001988","Cash","2026-03-18","AlQurashi-KSA","87016","73010","3792.0","SAR","Cash NAJMELAGRO","2026-03-18"
"Cash-BLKU-0001989","Cash","2026-03-19","AlQurashi-KSA","87016","73010","5155.0","SAR","Cash NAJMELAGRO","2026-03-19"
"Cash-BLKU-0001990","Cash","2026-03-20","AlQurashi-KSA","87016","73010","1129.0","SAR","Cash NAJMELAGRO","2026-03-20"
"Cash-BLKU-0001991","Cash","2026-03-21","AlQurashi-KSA","87016","73010","259.0","SAR","Cash NAJMELAGRO","2026-03-21"
"Cash-BLKU-0001992","Cash","2026-03-22","AlQurashi-KSA","87016","73010","398.0","SAR","Cash NAJMELAGRO","2026-03-22"
"Cash-BLKU-0001995","Cash","2026-03-25","AlQurashi-KSA","87016","73010","835.0","SAR","Cash NAJMELAGRO","2026-03-25"
"Cash-BLKU-0001998","Cash","2026-03-27","AlQurashi-KSA","87016","73010","-149.0","SAR","Cash NAJMELAGRO","2026-03-27"
"Cash-BLKU-0001999","Cash","2026-03-28","AlQurashi-KSA","87016","73010","1048.0","SAR","Cash NAJMELAGRO","2026-03-28"
"Cash-BLKU-0002000","Cash","2026-03-29","AlQurashi-KSA","87016","73010","448.0","SAR","Cash NAJMELAGRO","2026-03-29"
"Cash-BLKU-0002001","Cash","2026-03-30","AlQurashi-KSA","87016","73010","87.0","SAR","Cash NAJMELAGRO","2026-03-30"
"Cash-BLKU-0002002","Cash","2026-03-31","AlQurashi-KSA","87016","73010","299.0","SAR","Cash NAJMELAGRO","2026-03-31"
"Cash-PAYMENT-NAJPARK/11857 REFUND","Cash","2026-03-25","AlQurashi-KSA","124014","108009","-87.0","SAR","Cash NAJPARK","2026-03-25"
