"ReceiptNumber","ReceiptMethod","ReceiptDate","BusinessUnit","CustomerAccountNumber","CustomerSite","Amount","Currency","RemittanceBankAccountNumber","AccountingDate"
"Cash-BLKU-0006547","Cash","2026-03-05","AlQurashi-KSA","124014","108009","2737.0","SAR","Cash NAJPARK","2026-03-05"
"Cash-BLKU-0006548","Cash","2026-03-06","AlQurashi-KSA","124014","108009","3850.0","SAR","Cash NAJPARK","2026-03-06"
"Cash-BLKU-0006549","Cash","2026-03-07","AlQurashi-KSA","124014","108009","2178.0","SAR","Cash NAJPARK","2026-03-07"
"Cash-BLKU-0006550","Cash","2026-03-08","AlQurashi-KSA","124014","108009","2372.0","SAR","Cash NAJPARK","2026-03-08"
"Cash-BLKU-0006551","Cash","2026-03-09","AlQurashi-KSA","124014","108009","3052.0","SAR","Cash NAJPARK","2026-03-09"
"Cash-BLKU-0006552","Cash","2026-03-10","AlQurashi-KSA","124014","108009","1448.0","SAR","Cash NAJPARK","2026-03-10"
"Cash-BLKU-0006553","Cash","2026-03-11","AlQurashi-KSA","124014","108009","1937.0","SAR","Cash NAJPARK","2026-03-11"
"Cash-BLKU-0006554","Cash","2026-03-12","AlQurashi-KSA","124014","108009","1700.0","SAR","Cash NAJPARK","2026-03-12"
"Cash-BLKU-0006555","Cash","2026-03-13","AlQurashi-KSA","124014","108009","4777.0","SAR","Cash NAJPARK","2026-03-13"
"Cash-BLKU-0006556","Cash","2026-03-14","AlQurashi-KSA","124014","108009","3043.0","SAR","Cash NAJPARK","2026-03-14"
"Cash-BLKU-0006557","Cash","2026-03-15","AlQurashi-KSA","124014","108009","3803.0","SAR","Cash NAJPARK","2026-03-15"
"Cash-BLKU-0006558","Cash","2026-03-16","AlQurashi-KSA","124014","108009","4873.0","SAR","Cash NAJPARK","2026-03-16"
"Cash-BLKU-0006559","Cash","2026-03-17","AlQurashi-KSA","124014","108009","5594.0","SAR","Cash NAJPARK","2026-03-17"
"Cash-BLKU-0006560","Cash","2026-03-18","AlQurashi-KSA","124014","108009","4964.0","SAR","Cash NAJPARK","2026-03-18"
"Cash-BLKU-0006561","Cash","2026-03-19","AlQurashi-KSA","124014","108009","1928.0","SAR","Cash NAJPARK","2026-03-19"
"Cash-BLKU-0006562","Cash","2026-03-20","AlQurashi-KSA","124014","108009","1257.0","SAR","Cash NAJPARK","2026-03-20"
"Cash-BLKU-0006563","Cash","2026-03-21","AlQurashi-KSA","124014","108009","1.0","SAR","Cash NAJPARK","2026-03-21"
"Cash-BLKU-0006564","Cash","2026-03-22","AlQurashi-KSA","124014","108009","539.0","SAR","Cash NAJPARK","2026-03-22"
"Cash-BLKU-0006565","Cash","2026-03-23","AlQurashi-KSA","124014","108009","487.0","SAR","Cash NAJPARK","2026-03-23"
"Cash-BLKU-0006566","Cash","2026-03-24","AlQurashi-KSA","124014","108009","610.0","SAR","Cash NAJPARK","2026-03-24"
"Cash-BLKU-0006567","Cash","2026-03-25","AlQurashi-KSA","124014","108009","78.0","SAR","Cash NAJPARK","2026-03-25"
"Cash-BLKU-0006568","Cash","2026-03-26","AlQurashi-KSA","124014","108009","1038.0","SAR","Cash NAJPARK","2026-03-26"
"Cash-BLKU-0006569","Cash","2026-03-27","AlQurashi-KSA","124014","108009","114.0","SAR","Cash NAJPARK","2026-03-27"
"Cash-BLKU-0006570","Cash","2026-03-28","AlQurashi-KSA","124014","108009","377.0","SAR","Cash NAJPARK","2026-03-28"
"Cash-BLKU-0006571","Cash","2026-03-29","AlQurashi-KSA","124014","108009","718.0","SAR","Cash NAJPARK","2026-03-29"
"Cash-BLKU-0006572","Cash","2026-03-30","AlQurashi-KSA","124014","108009","4.0","SAR","Cash NAJPARK","2026-03-30"
"Cash-BLKU-0006573","Cash","2026-03-31","AlQurashi-KSA","124014","108009","231.0","SAR","Cash NAJPARK","2026-03-31"
