"ReceiptNumber","ReceiptMethod","ReceiptDate","BusinessUnit","CustomerAccountNumber","CustomerSite","Amount","Currency","RemittanceBankAccountNumber","AccountingDate"
"Cash-BLKU-0006427","Cash","2026-03-05","AlQurashi-KSA","110012","96018","7710.0","SAR","Cash MILAQROTAB","2026-03-05"
"Cash-BLKU-0006428","Cash","2026-03-06","AlQurashi-KSA","110012","96018","1054.0","SAR","Cash MILAQROTAB","2026-03-06"
"Cash-BLKU-0006429","Cash","2026-03-07","AlQurashi-KSA","110012","96018","1017.0","SAR","Cash MILAQROTAB","2026-03-07"
"Cash-BLKU-0006430","Cash","2026-03-08","AlQurashi-KSA","110012","96018","1564.0","SAR","Cash MILAQROTAB","2026-03-08"
"Cash-BLKU-0006431","Cash","2026-03-09","AlQurashi-KSA","110012","96018","3136.0","SAR","Cash MILAQROTAB","2026-03-09"
"Cash-BLKU-0006432","Cash","2026-03-10","AlQurashi-KSA","110012","96018","2286.0","SAR","Cash MILAQROTAB","2026-03-10"
"Cash-BLKU-0006433","Cash","2026-03-11","AlQurashi-KSA","110012","96018","7589.0","SAR","Cash MILAQROTAB","2026-03-11"
"Cash-BLKU-0006434","Cash","2026-03-12","AlQurashi-KSA","110012","96018","4522.0","SAR","Cash MILAQROTAB","2026-03-12"
"Cash-BLKU-0006435","Cash","2026-03-13","AlQurashi-KSA","110012","96018","5423.0","SAR","Cash MILAQROTAB","2026-03-13"
"Cash-BLKU-0006436","Cash","2026-03-14","AlQurashi-KSA","110012","96018","2625.0","SAR","Cash MILAQROTAB","2026-03-14"
"Cash-BLKU-0006437","Cash","2026-03-15","AlQurashi-KSA","110012","96018","1308.0","SAR","Cash MILAQROTAB","2026-03-15"
"Cash-BLKU-0006438","Cash","2026-03-16","AlQurashi-KSA","110012","96018","4683.0","SAR","Cash MILAQROTAB","2026-03-16"
"Cash-BLKU-0006439","Cash","2026-03-17","AlQurashi-KSA","110012","96018","4272.0","SAR","Cash MILAQROTAB","2026-03-17"
"Cash-BLKU-0006440","Cash","2026-03-18","AlQurashi-KSA","110012","96018","5171.0","SAR","Cash MILAQROTAB","2026-03-18"
"Cash-BLKU-0006441","Cash","2026-03-19","AlQurashi-KSA","110012","96018","11283.0","SAR","Cash MILAQROTAB","2026-03-19"
"Cash-BLKU-0006442","Cash","2026-03-20","AlQurashi-KSA","110012","96018","6097.0","SAR","Cash MILAQROTAB","2026-03-20"
"Cash-BLKU-0006443","Cash","2026-03-21","AlQurashi-KSA","110012","96018","557.0","SAR","Cash MILAQROTAB","2026-03-21"
"Cash-BLKU-0006444","Cash","2026-03-22","AlQurashi-KSA","110012","96018","819.0","SAR","Cash MILAQROTAB","2026-03-22"
"Cash-BLKU-0006445","Cash","2026-03-23","AlQurashi-KSA","110012","96018","1053.0","SAR","Cash MILAQROTAB","2026-03-23"
"Cash-BLKU-0006446","Cash","2026-03-24","AlQurashi-KSA","110012","96018","1371.0","SAR","Cash MILAQROTAB","2026-03-24"
"Cash-BLKU-0006447","Cash","2026-03-25","AlQurashi-KSA","110012","96018","126.0","SAR","Cash MILAQROTAB","2026-03-25"
"Cash-BLKU-0006448","Cash","2026-03-26","AlQurashi-KSA","110012","96018","3555.0","SAR","Cash MILAQROTAB","2026-03-26"
"Cash-BLKU-0006449","Cash","2026-03-27","AlQurashi-KSA","110012","96018","5464.0","SAR","Cash MILAQROTAB","2026-03-27"
"Cash-BLKU-0006450","Cash","2026-03-28","AlQurashi-KSA","110012","96018","1611.0","SAR","Cash MILAQROTAB","2026-03-28"
"Cash-BLKU-0006451","Cash","2026-03-29","AlQurashi-KSA","110012","96018","2277.0","SAR","Cash MILAQROTAB","2026-03-29"
"Cash-BLKU-0006452","Cash","2026-03-30","AlQurashi-KSA","110012","96018","2125.0","SAR","Cash MILAQROTAB","2026-03-30"
"Cash-BLKU-0006453","Cash","2026-03-31","AlQurashi-KSA","110012","96018","-101.0","SAR","Cash MILAQROTAB","2026-03-31"
